acb_trades,accumulation_start,bars,bear_defense_start,bnh_initial_btc,btc_vs_bnh_ratio,buy_hold_pct,cagr,calmar,case,cost,dataset_hash,end,fee_rate,final,final_btc_qty,finished_at,label,max_dd,orders,pf,rebalance_events,runtime_seconds,sharpe,slippage_bps,sortino,start,started_at,status,time_outside_btc_pct,total_return_pct,underwater_days
64,840,96907,480,31.28323844,0.3548,27327.41,72.65,1.38,bear_480_accum_840,realistic,9417f626125e4f3bb74d5cfbb1e68b8c0c4c961b578bae78c1480d7c3a0166dd,2026-01-01,0.001,4064576.88,11.10061700,2026-07-22T10:13:24.792124Z,bear_480_accum_840,52.73,125,79.92,124,358.153,1.29,5,1.48,2015-01-01,2026-07-22T10:07:26.639485Z,SUCCEEDED,0.0,40545.77,964
64,870,96907,480,31.28323844,0.4277,27327.41,75.61,1.43,bear_480_accum_870,realistic,9417f626125e4f3bb74d5cfbb1e68b8c0c4c961b578bae78c1480d7c3a0166dd,2026-01-01,0.001,4899030.92,13.37956300,2026-07-22T10:22:05.103481Z,bear_480_accum_870,52.73,125,90.75,124,379.487,1.33,5,1.52,2015-01-01,2026-07-22T10:15:45.616131Z,SUCCEEDED,0.0,48890.31,963
64,900,96907,480,31.28323844,0.4171,27327.41,75.21,1.43,bear_480_accum_900,realistic,9417f626125e4f3bb74d5cfbb1e68b8c0c4c961b578bae78c1480d7c3a0166dd,2026-01-01,0.001,4777909.51,13.04877300,2026-07-22T10:22:06.584935Z,bear_480_accum_900,52.73,125,80.76,124,380.967,1.33,5,1.52,2015-01-01,2026-07-22T10:15:45.617621Z,SUCCEEDED,0.0,47679.10,964
64,930,96907,480,31.28323844,0.4547,27327.41,76.59,1.45,bear_480_accum_930,realistic,9417f626125e4f3bb74d5cfbb1e68b8c0c4c961b578bae78c1480d7c3a0166dd,2026-01-01,0.001,5208428.77,14.22454800,2026-07-22T10:22:05.115645Z,bear_480_accum_930,52.73,125,129.33,124,379.423,1.34,5,1.54,2015-01-01,2026-07-22T10:15:45.692535Z,SUCCEEDED,0.0,51984.29,962
64,960,96907,480,31.28323844,0.4099,27327.41,74.93,1.42,bear_480_accum_960,realistic,9417f626125e4f3bb74d5cfbb1e68b8c0c4c961b578bae78c1480d7c3a0166dd,2026-01-01,0.001,4695004.61,12.82235400,2026-07-22T10:22:04.628691Z,bear_480_accum_960,52.73,125,117.26,124,378.893,1.32,5,1.51,2015-01-01,2026-07-22T10:15:45.735354Z,SUCCEEDED,0.0,46850.05,962
68,840,96907,510,31.28323844,0.4895,27327.41,77.31,1.47,bear_510_accum_840,realistic,9417f626125e4f3bb74d5cfbb1e68b8c0c4c961b578bae78c1480d7c3a0166dd,2026-01-01,0.001,5449046.49,15.31199600,2026-07-22T10:22:02.184096Z,bear_510_accum_840,52.73,134,80.25,133,376.43,1.32,5,1.52,2015-01-01,2026-07-22T10:15:45.754289Z,SUCCEEDED,0.0,54390.46,962
68,870,96907,510,31.28323844,0.5891,27327.41,80.33,1.52,bear_510_accum_870,realistic,9417f626125e4f3bb74d5cfbb1e68b8c0c4c961b578bae78c1480d7c3a0166dd,2026-01-01,0.001,6558294.36,18.42901700,2026-07-22T10:28:48.762107Z,bear_510_accum_870,52.73,134,90.06,133,401.164,1.36,5,1.56,2015-01-01,2026-07-22T10:22:07.598442Z,SUCCEEDED,0.0,65482.94,962
68,900,96907,510,31.28323844,0.5762,27327.41,79.96,1.52,bear_510_accum_900,realistic,9417f626125e4f3bb74d5cfbb1e68b8c0c4c961b578bae78c1480d7c3a0166dd,2026-01-01,0.001,6414552.83,18.02509900,2026-07-22T10:28:48.829731Z,bear_510_accum_900,52.73,134,81.43,133,401.225,1.36,5,1.55,2015-01-01,2026-07-22T10:22:07.604382Z,SUCCEEDED,0.0,64045.53,963
68,930,96907,510,31.28323844,0.6228,27327.41,81.24,1.54,bear_510_accum_930,realistic,9417f626125e4f3bb74d5cfbb1e68b8c0c4c961b578bae78c1480d7c3a0166dd,2026-01-01,0.001,6933116.50,19.48228000,2026-07-22T10:28:49.368196Z,bear_510_accum_930,52.73,134,122.71,133,401.763,1.37,5,1.57,2015-01-01,2026-07-22T10:22:07.604915Z,SUCCEEDED,0.0,69231.16,939
68,960,96907,510,31.28323844,0.5619,27327.41,79.55,1.51,bear_510_accum_960,realistic,9417f626125e4f3bb74d5cfbb1e68b8c0c4c961b578bae78c1480d7c3a0166dd,2026-01-01,0.001,6255151.30,17.57717600,2026-07-22T10:28:50.618764Z,bear_510_accum_960,52.73,134,112.68,133,402.973,1.35,5,1.54,2015-01-01,2026-07-22T10:22:07.645956Z,SUCCEEDED,0.0,62451.51,939
70,840,96907,540,31.28323844,0.6888,27327.41,82.98,1.53,bear_540_accum_840,realistic,9417f626125e4f3bb74d5cfbb1e68b8c0c4c961b578bae78c1480d7c3a0166dd,2026-01-01,0.001,7702588.76,21.54672800,2026-07-22T10:28:47.498604Z,bear_540_accum_840,54.07,137,79.18,136,399.806,1.34,5,1.54,2015-01-01,2026-07-22T10:22:07.693036Z,SUCCEEDED,0.0,76925.89,820
